 Family.ID Individual.ID Paternal.ID Maternal.ID Gender Phenotype Population Relationship Siblings Second.Order Third.Order Other.Comments Population_broad
1437 HG00150 HG00150 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1438 HG00151 HG00151 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1440 HG00154 HG00154 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1379 GBR001 HG00155 0 HG00144 1 0 GBR Child 0 0 0 0 Caucasian
1442 HG00157 HG00157 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1383 GBR003 HG00158 0 0 2 0 GBR mother 0 0 0 0 Caucasian
1443 HG00159 HG00159 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1444 HG00160 HG00160 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1273 HG00171 HG00171 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1274 HG00173 HG00173 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1275 HG00174 HG00174 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1276 HG00176 HG00176 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1277 HG00177 HG00177 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1278 HG00178 HG00178 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1279 HG00179 HG00179 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1280 HG00180 HG00180 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1281 HG00181 HG00181 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1282 HG00182 HG00182 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1283 HG00183 HG00183 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1284 HG00185 HG00185 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1285 HG00186 HG00186 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1286 HG00187 HG00187 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1287 HG00188 HG00188 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1288 HG00189 HG00189 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1289 HG00190 HG00190 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1445 HG00231 HG00231 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1446 HG00232 HG00232 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1447 HG00233 HG00233 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1448 HG00234 HG00234 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1449 HG00235 HG00235 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1450 HG00236 HG00236 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1451 HG00237 HG00237 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1452 HG00238 HG00238 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1453 HG00239 HG00239 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1454 HG00240 HG00240 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1455 HG00242 HG00242 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1456 HG00243 HG00243 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1457 HG00244 HG00244 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1458 HG00245 HG00245 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1459 HG00246 HG00246 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1461 HG00250 HG00250 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1462 HG00251 HG00251 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1463 HG00252 HG00252 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1464 HG00253 HG00253 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1465 HG00254 HG00254 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1466 HG00255 HG00255 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1467 HG00256 HG00256 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1468 HG00257 HG00257 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1469 HG00258 HG00258 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1470 HG00259 HG00259 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1471 HG00260 HG00260 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1472 HG00261 HG00261 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1473 HG00262 HG00262 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1474 HG00263 HG00263 0 0 2 0 GBR unrel 0 0 0 0 Caucasian
1475 HG00264 HG00264 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1476 HG00265 HG00265 0 0 1 0 GBR unrel 0 0 0 0 Caucasian
1290 HG00266 HG00266 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1291 HG00267 HG00267 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1292 HG00268 HG00268 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1293 HG00269 HG00269 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1295 HG00271 HG00271 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1296 HG00272 HG00272 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1297 HG00273 HG00273 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1298 HG00274 HG00274 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1299 HG00275 HG00275 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1300 HG00276 HG00276 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1301 HG00277 HG00277 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1302 HG00278 HG00278 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1303 HG00280 HG00280 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1304 HG00281 HG00281 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1305 HG00282 HG00282 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1306 HG00284 HG00284 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1307 HG00285 HG00285 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1308 HG00288 HG00288 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1309 HG00290 HG00290 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1312 HG00304 HG00304 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1313 HG00306 HG00306 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1314 HG00308 HG00308 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1315 HG00309 HG00309 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1316 HG00310 HG00310 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1317 HG00311 HG00311 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1319 HG00313 HG00313 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1320 HG00315 HG00315 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1321 HG00318 HG00318 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1322 HG00319 HG00319 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1323 HG00320 HG00320 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1324 HG00321 HG00321 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1325 HG00323 HG00323 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1326 HG00324 HG00324 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1327 HG00325 HG00325 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1328 HG00326 HG00326 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1329 HG00327 HG00327 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1330 HG00328 HG00328 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1331 HG00329 HG00329 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1332 HG00330 HG00330 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1333 HG00331 HG00331 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1334 HG00332 HG00332 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1335 HG00334 HG00334 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1336 HG00335 HG00335 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1337 HG00336 HG00336 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1338 HG00337 HG00337 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1339 HG00338 HG00338 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1340 HG00339 HG00339 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1341 HG00341 HG00341 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1342 HG00342 HG00342 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1343 HG00343 HG00343 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1344 HG00344 HG00344 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1345 HG00345 HG00345 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1346 HG00346 HG00346 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1347 HG00349 HG00349 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1348 HG00350 HG00350 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1349 HG00351 HG00351 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1350 HG00353 HG00353 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1351 HG00355 HG00355 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1352 HG00356 HG00356 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1353 HG00357 HG00357 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1354 HG00358 HG00358 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1356 HG00360 HG00360 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1357 HG00361 HG00361 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1358 HG00362 HG00362 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1359 HG00364 HG00364 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1360 HG00365 HG00365 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1361 HG00366 HG00366 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1362 HG00367 HG00367 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1363 HG00368 HG00368 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1364 HG00369 HG00369 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1365 HG00371 HG00371 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1366 HG00372 HG00372 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1367 HG00373 HG00373 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1368 HG00375 HG00375 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1369 HG00376 HG00376 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1371 HG00378 HG00378 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1372 HG00379 HG00379 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1373 HG00380 HG00380 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1374 HG00381 HG00381 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1375 HG00382 HG00382 0 0 1 0 FIN unrel 0 0 0 0 Caucasian
1376 HG00383 HG00383 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
1377 HG00384 HG00384 0 0 2 0 FIN unrel 0 0 0 0 Caucasian
781 SH001 HG00403 0 0 1 0 CHS father 0 0 0 0 East-Asian
782 SH001 HG00404 0 0 2 0 CHS mother 0 0 0 0 East-Asian
784 SH002 HG00406 0 0 1 0 CHS father 0 0 0 0 East-Asian
785 SH002 HG00407 0 0 2 0 CHS mother 0 0 0 0 East-Asian
787 SH003 HG00409 0 0 1 0 CHS father 0 0 0 0 East-Asian
788 SH003 HG00410 0 0 2 0 CHS mother 0 0 0 0 East-Asian
791 SH006 HG00419 0 0 2 0 CHS mother 0 0 0 0 East-Asian
793 SH007 HG00421 0 0 1 0 CHS father 0 0 0 0 East-Asian
794 SH007 HG00422 0 0 2 0 CHS mother 0 0 0 0 East-Asian
797 SH009 HG00428 0 0 2 0 CHS mother 0 0 0 0 East-Asian
799 SH012 HG00436 0 0 1 0 CHS father 0 0 0 0 East-Asian
800 SH012 HG00437 0 0 2 0 CHS mother 0 0 0 0 East-Asian
802 SH014 HG00442 0 0 1 0 CHS father 0 0 0 0 East-Asian
803 SH014 HG00443 0 0 2 0 CHS mother 0 0 0 0 East-Asian
805 SH015 HG00445 0 0 1 0 CHS father 0 0 0 0 East-Asian
806 SH015 HG00446 0 0 2 0 CHS mother 0 0 0 0 East-Asian
808 SH016 HG00448 0 0 1 0 CHS father 0 0 0 0 East-Asian
809 SH016 HG00449 0 0 2 0 CHS mother 0 0 0 0 East-Asian
811 SH017 HG00451 0 0 1 0 CHS father 0 0 0 0 East-Asian
812 SH017 HG00452 0 0 2 0 CHS mother 0 0 0 0 East-Asian
814 SH019 HG00457 0 0 1 0 CHS father 0 0 0 0 East-Asian
815 SH019 HG00458 0 0 2 0 CHS mother 0 0 0 0 East-Asian
817 SH021 HG00463 0 0 1 0 CHS father 0 0 0 0 East-Asian
818 SH021 HG00464 0 0 2 0 CHS mother 0 0 0 0 East-Asian
820 SH024 HG00472 0 0 1 0 CHS father 0 0 0 0 East-Asian
821 SH024 HG00473 0 0 2 0 CHS mother 0 0 0 0 East-Asian
823 SH025 HG00475 0 0 1 0 CHS father 0 0 0 0 East-Asian
824 SH025 HG00476 0 0 2 0 CHS mother 0 0 0 0 East-Asian
826 SH026 HG00478 0 0 1 0 CHS father 0 0 0 0 East-Asian
827 SH026 HG00479 0 0 2 0 CHS mother 0 0 0 0 East-Asian
829 SH028 HG00500 0 0 1 0 CHS father 0 0 0 0 East-Asian
833 SH032 HG00513 0 0 2 0 CHS mother 0 0 0 0 East-Asian
835 SH036 HG00524 0 0 1 0 CHS father "HG00501, HG00512" HG00502,HG00514 0 0 East-Asian
836 SH036 HG00525 0 0 2 0 CHS mother 0 0 0 0 East-Asian
838 SH038 HG00530 0 0 1 0 CHS father 0 0 0 0 East-Asian
839 SH038 HG00531 0 0 2 0 CHS mother 0 0 0 0 East-Asian
841 SH039 HG00533 0 0 1 0 CHS father 0 0 0 0 East-Asian
842 SH039 HG00534 0 0 2 0 CHS mother 0 0 0 0 East-Asian
844 SH040 HG00536 0 0 1 0 CHS father 0 0 0 0 East-Asian
845 SH040 HG00537 0 0 2 0 CHS mother 0 0 0 0 East-Asian
847 SH042 HG00542 0 0 1 0 CHS father 0 0 0 0 East-Asian
848 SH042 HG00543 0 0 2 0 CHS mother 0 0 0 0 East-Asian
2926 PR01 HG00551 0 0 2 0 PUR mother 0 0 0 0 Hispanic
2929 PR02 HG00553 0 0 1 0 PUR father 0 0 0 0 Hispanic
2930 PR02 HG00554 0 0 2 0 PUR mother 0 0 0 0 Hispanic
850 SH045 HG00556 0 0 1 0 CHS father 0 0 0 0 East-Asian
851 SH045 HG00557 0 0 2 0 CHS mother 0 0 0 0 East-Asian
853 SH046 HG00559 0 0 1 0 CHS father 0 0 0 0 East-Asian
854 SH046 HG00560 0 0 2 0 CHS mother 0 0 0 0 East-Asian
856 SH048 HG00565 0 0 1 0 CHS father 0 0 0 0 East-Asian
857 SH048 HG00566 0 0 2 0 CHS mother 0 0 0 0 East-Asian
862 SH053 HG00580 0 0 1 0 CHS father 0 0 0 0 East-Asian
863 SH053 HG00581 0 0 2 0 CHS mother "HG00578, HG00635" HG00579,HG00636 0 0 East-Asian
865 SH054 HG00583 0 0 1 0 CHS father 0 0 0 0 East-Asian
866 SH054 HG00584 0 0 2 0 CHS mother HG00577 HG00579 0 0 East-Asian
868 SH056 HG00589 0 0 1 0 CHS father 0 0 0 0 East-Asian
869 SH056 HG00590 0 0 2 0 CHS mother 0 0 0 0 East-Asian
871 SH057 HG00592 0 0 1 0 CHS father 0 0 0 0 East-Asian
872 SH057 HG00593 0 0 2 0 CHS mother 0 0 0 0 East-Asian
874 SH058 HG00595 0 0 1 0 CHS father 0 0 0 0 East-Asian
875 SH058 HG00596 0 0 2 0 CHS mother 0 0 0 0 East-Asian
877 SH059 HG00598 0 0 1 0 CHS father 0 0 0 0 East-Asian
878 SH059 HG00599 0 0 2 0 CHS mother 0 0 0 0 East-Asian
880 SH062 HG00607 0 0 1 0 CHS father 0 0 0 0 East-Asian
881 SH062 HG00608 0 0 2 0 CHS mother 0 0 0 0 East-Asian
883 SH063 HG00610 0 0 1 0 CHS father 0 0 0 0 East-Asian
884 SH063 HG00611 0 0 2 0 CHS mother 0 0 0 0 East-Asian
886 SH064 HG00613 0 0 1 0 CHS father 0 0 0 0 East-Asian
887 SH064 HG00614 0 0 2 0 CHS mother 0 0 0 0 East-Asian
889 SH066 HG00619 0 0 1 0 CHS father 0 0 0 0 East-Asian
890 SH066 HG00620 0 0 2 0 CHS mother 0 0 0 0 East-Asian
892 SH067 HG00622 0 0 1 0 CHS father 0 0 0 0 East-Asian
893 SH067 HG00623 0 0 2 0 CHS mother 0 0 0 0 East-Asian
895 SH068 HG00625 0 0 1 0 CHS father 0 0 0 0 East-Asian
896 SH068 HG00626 0 0 2 0 CHS mother 0 0 0 0 East-Asian
898 SH069 HG00628 0 0 1 0 CHS father 0 0 0 0 East-Asian
899 SH069 HG00629 0 0 2 0 CHS mother 0 0 0 0 East-Asian
901 SH070 HG00631 0 0 1 0 CHS father 0 0 0 0 East-Asian
902 SH070 HG00632 0 0 2 0 CHS mother 0 0 0 0 East-Asian
904 SH071 HG00634 0 0 1 0 CHS father 0 0 0 0 East-Asian
2932 PR03 HG00637 0 0 1 0 PUR father 0 0 0 0 Hispanic
2933 PR03 HG00638 0 0 2 0 PUR mother 0 0 0 0 Hispanic
2935 PR04 HG00640 0 0 1 0 PUR father 0 0 0 0 Hispanic
2936 PR04 HG00641 0 0 2 0 PUR mother 0 0 0 0 Hispanic
907 SH072 HG00650 0 0 1 0 CHS father 0 0 0 0 East-Asian
908 SH072 HG00651 0 0 2 0 CHS mother 0 0 0 0 East-Asian
910 SH073 HG00653 0 0 1 0 CHS father 0 0 0 0 East-Asian
911 SH073 HG00654 0 0 2 0 CHS mother 0 0 0 0 East-Asian
935 SH074 HG00656 0 0 1 0 CHS father 0 HG00703 0 0 East-Asian
936 SH074 HG00657 0 0 2 0 CHS mother 0 HG00703 0 0 East-Asian
914 SH076 HG00662 0 0 1 0 CHS father 0 0 0 0 East-Asian
915 SH076 HG00663 0 0 2 0 CHS mother 0 0 0 0 East-Asian
917 SH079 HG00671 0 0 1 0 CHS father 0 0 0 0 East-Asian
918 SH079 HG00672 0 0 2 0 CHS mother 0 0 0 0 East-Asian
920 SH080 HG00674 0 0 1 0 CHS father 0 0 0 0 East-Asian
921 SH080 HG00675 0 0 2 0 CHS mother 0 0 0 0 East-Asian
923 SH083 HG00683 0 0 1 0 CHS father 0 0 0 0 East-Asian
924 SH083 HG00684 0 0 2 0 CHS mother 0 0 0 0 East-Asian
926 SH085 HG00689 0 0 1 0 CHS father 0 0 0 0 East-Asian
927 SH085 HG00690 0 0 2 0 CHS mother 0 0 0 0 East-Asian
929 SH086 HG00692 0 0 1 0 CHS father 0 0 0 0 East-Asian
930 SH086 HG00693 0 0 2 0 CHS mother 0 0 0 0 East-Asian
932 SH088 HG00698 0 0 1 0 CHS father 0 0 0 0 East-Asian
933 SH088 HG00699 0 0 2 0 CHS mother 0 0 0 0 East-Asian
937 SH089 HG00701 0 0 1 0 CHS father 0 0 0 0 East-Asian
940 SH090 HG00704 0 0 1 0 CHS father 0 0 0 0 East-Asian
941 SH090 HG00705 0 0 2 0 CHS mother 0 0 0 0 East-Asian
943 SH091 HG00707 0 0 1 0 CHS father 0 0 0 0 East-Asian
944 SH091 HG00708 0 0 2 0 CHS mother 0 0 0 0 East-Asian
947 SH094 HG00717 0 0 2 0 CHS mother 0 0 0 0 East-Asian
949 SH098 HG00728 0 0 1 0 CHS father 0 0 0 0 East-Asian
950 SH098 HG00729 0 0 2 0 CHS mother 0 0 0 0 East-Asian
2938 PR05 HG00731 0 0 1 0 PUR father 0 0 0 0 Hispanic
2939 PR05 HG00732 0 0 2 0 PUR mother 0 0 0 0 Hispanic
2941 PR06 HG00734 0 0 2 0 PUR mother 0 0 0 0 Hispanic
2944 PR07 HG00736 0 0 1 0 PUR father 0 0 0 0 Hispanic
2945 PR07 HG00737 0 0 2 0 PUR mother 0 0 0 0 Hispanic
2950 PR09 HG00739 0 0 1 0 PUR father 0 0 0 0 Hispanic
2951 PR09 HG00740 0 0 2 0 PUR mother 0 0 0 0 Hispanic
2953 PR10 HG00742 0 0 1 0 PUR father 0 0 0 0 Hispanic
2954 PR10 HG00743 0 0 2 0 PUR mother 0 0 0 0 Hispanic
384 HG00759 HG00759 0 0 2 0 CDX unrel 0 0 0 0 East-Asian
385 HG00766 HG00766 0 0 2 0 CDX unrel 0 0 0 0 East-Asian
386 HG00844 HG00844 0 0 1 0 CDX unrel 0 0 0 0 East-Asian
387 HG00851 HG00851 0 0 2 0 CDX unrel 0 0 0 0 East-Asian
388 HG00864 HG00864 0 0 2 0 CDX unrel 0 0 0 0 East-Asian
381 CDX1 HG00867 HG00866 0 2 0 CDX unrel 0 0 0 "Parent/Child directionality is uncertain" East-Asian
389 HG00879 HG00879 0 0 2 0 CDX unrel 0 0 0 0 East-Asian
390 HG00881 HG00881 0 0 1 0 CDX unrel 0 0 0 0 East-Asian
391 HG00956 HG00956 0 0 2 0 CDX unrel 0 0 0 0 East-Asian
392 HG00978 HG00978 0 0 2 0 CDX unrel HG00983 0 0 0 East-Asian
393 HG00982 HG00982 0 0 1 0 CDX unrel 0 0 0 0 East-Asian
395 HG01028 HG01028 0 0 1 0 CDX unrel 0 0 0 0 East-Asian
396 HG01029 HG01029 0 0 2 0 CDX unrel 0 0 0 0 East-Asian
397 HG01031 HG01031 0 0 1 0 CDX unrel 0 0 0 0 East-Asian
398 HG01046 HG01046 0 0 2 0 CDX unrel 0 0 0 0 East-Asian
2943 PR06 HG01047 0 0 1 0 PUR father 0 0 0 0 Hispanic
2947 PR08 HG01048 0 0 1 0 PUR father 0 0 0 0 Hispanic
2948 PR08 HG01049 0 0 2 0 PUR mother 0 0 0 0 Hispanic
2955 PR11 HG01051 0 0 1 0 PUR father 0 0 0 0 Hispanic
2956 PR11 HG01052 0 0 2 0 PUR mother 0 0 0 0 Hispanic
2958 PR12 HG01054 0 0 1 0 PUR father 0 0 0 0 Hispanic
2959 PR12 HG01055 0 0 2 0 PUR mother 0 0 0 0 Hispanic
2961 PR13 HG01058 0 0 2 0 PUR mother 0 0 0 0 Hispanic
2962 PR14 HG01060 0 0 1 0 PUR father 0 0 0 0 Hispanic
2963 PR14 HG01061 0 0 2 0 PUR mother 0 0 0 0 Hispanic
2965 PR15 HG01063 0 0 1 0 PUR father 0 0 0 0 Hispanic
2966 PR15 HG01064 0 0 2 0 PUR mother 0 0 0 0 Hispanic
2967 PR16 HG01066 0 0 1 0 PUR father 0 0 0 0 Hispanic
2968 PR16 HG01067 0 0 2 0 PUR mother 0 0 0 0 Hispanic
2970 PR17 HG01069 0 0 1 0 PUR father 0 0 0 0 Hispanic
2971 PR17 HG01070 0 0 2 0 PUR mother 0 0 0 0 Hispanic
2973 PR18 HG01072 0 0 1 0 PUR father 0 0 0 "no DNA directly from blood" Hispanic
2974 PR18 HG01073 0 0 2 0 PUR mother 0 0 0 "no DNA directly from blood" Hispanic
